,Series_Title,Bag_of_Word,Bag_of_Word_stem,Bag_of_Word_lema,Top 5 stem,Top 5 lema
0,The Shawshank Redemption,two imprisoned men bond number years finding solace eventual redemption acts common decency two imprisoned men bond number years finding solace eventual redemption acts common decency drama frank darabont tim robbins morgan freeman bob gunton william sadler,two imprison men bond number year find solac eventu redempt act common decenc two imprison men bond number year find solac eventu redempt act common decenc drama frank darabont tim robbin morgan freeman bob gunton william sadler,two imprison men bond number years find solace eventual redemption act common decency two imprison men bond number years find solace eventual redemption act common decency drama frank darabont tim robbins morgan freeman bob gunton william sadler,"[68, 350, 174, 508, 773]","[68, 350, 174, 508, 12]"
1,The Godfather,organized crime dynastys aging patriarch transfers control clandestine empire reluctant son organized crime dynastys aging patriarch transfers control clandestine empire reluctant son crime drama francis ford coppola marlon brando al pacino james caan diane keaton,organ crime dynasti age patriarch transfer control clandestin empir reluct son organ crime dynasti age patriarch transfer control clandestin empir reluct son crime drama franci ford coppola marlon brando al pacino jame caan dian keaton,organize crime dynastys age patriarch transfer control clandestine empire reluctant son organize crime dynastys age patriarch transfer control clandestine empire reluctant son crime drama francis ford coppola marlon brando al pacino jam caan diane keaton,"[974, 3, 814, 299, 186]","[974, 3, 814, 299, 186]"
2,The Dark Knight,menace known joker wreaks havoc chaos people gotham batman must accept one greatest psychological physical tests ability fight injustice menace known joker wreaks havoc chaos people gotham batman must accept one greatest psychological physical tests ability fight injustice action crime drama christopher nolan christian bale heath ledger aaron eckhart michael caine,menac known joker wreak havoc chao peopl gotham batman must accept one greatest psycholog physic test abil fight injustic menac known joker wreak havoc chao peopl gotham batman must accept one greatest psycholog physic test abil fight injustic action crime drama christoph nolan christian bale heath ledger aaron eckhart michael cain,menace know joker wreak havoc chaos people gotham batman must accept one greatest psychological physical test ability fight injustice menace know joker wreak havoc chaos people gotham batman must accept one greatest psychological physical test ability fight injustice action crime drama christopher nolan christian bale heath ledger aaron eckhart michael caine,"[155, 63, 162, 872, 674]","[155, 86, 63, 162, 872]"
3,The Godfather: Part II,early life career vito corleone new york city portrayed son michael expands tightens grip family crime syndicate early life career vito corleone new york city portrayed son michael expands tightens grip family crime syndicate crime drama francis ford coppola al pacino robert de niro robert duvall diane keaton,earli life career vito corleon new york citi portray son michael expand tighten grip famili crime syndic earli life career vito corleon new york citi portray son michael expand tighten grip famili crime syndic crime drama franci ford coppola al pacino robert de niro robert duval dian keaton,early life career vito corleone new york city portray son michael expand tighten grip family crime syndicate early life career vito corleone new york city portray son michael expand tighten grip family crime syndicate crime drama francis ford coppola al pacino robert de niro robert duvall diane keaton,"[974, 1, 720, 664, 933]","[974, 1, 664, 933, 87]"
4,12 Angry Men,jury holdout attempts prevent miscarriage justice forcing colleagues reconsider evidence jury holdout attempts prevent miscarriage justice forcing colleagues reconsider evidence crime drama sidney lumet henry fonda lee j cobb martin balsam john fiedler,juri holdout attempt prevent miscarriag justic forc colleagu reconsid evid juri holdout attempt prevent miscarriag justic forc colleagu reconsid evid crime drama sidney lumet henri fonda lee j cobb martin balsam john fiedler,jury holdout attempt prevent miscarriage justice force colleagues reconsider evidence jury holdout attempt prevent miscarriage justice force colleagues reconsider evidence crime drama sidney lumet henry fonda lee j cobb martin balsam john fiedler,"[457, 849, 450, 317, 304]","[457, 849, 450, 317, 304]"
5,The Lord of the Rings: The Return of the King,gandalf aragorn lead world men saurons army draw gaze frodo sam approach mount doom one ring gandalf aragorn lead world men saurons army draw gaze frodo sam approach mount doom one ring action adventure drama peter jackson elijah wood viggo mortensen ian mckellen orlando bloom,gandalf aragorn lead world men sauron armi draw gaze frodo sam approach mount doom one ring gandalf aragorn lead world men sauron armi draw gaze frodo sam approach mount doom one ring action adventur drama peter jackson elijah wood viggo mortensen ian mckellen orlando bloom,gandalf aragorn lead world men saurons army draw gaze frodo sam approach mount doom one ring gandalf aragorn lead world men saurons army draw gaze frodo sam approach mount doom one ring action adventure drama peter jackson elijah wood viggo mortensen ian mckellen orlando bloom,"[13, 10, 985, 129, 856]","[13, 10, 985, 129, 856]"
6,Pulp Fiction,lives two mob hitmen boxer gangster wife pair diner bandits intertwine four tales violence redemption lives two mob hitmen boxer gangster wife pair diner bandits intertwine four tales violence redemption crime drama quentin tarantino john travolta uma thurman samuel l jackson bruce willis,live two mob hitmen boxer gangster wife pair diner bandit intertwin four tale violenc redempt live two mob hitmen boxer gangster wife pair diner bandit intertwin four tale violenc redempt crime drama quentin tarantino john travolta uma thurman samuel l jackson bruce willi,live two mob hitmen boxer gangster wife pair diner bandits intertwine four tales violence redemption live two mob hitmen boxer gangster wife pair diner bandits intertwine four tales violence redemption crime drama quentin tarantino john travolta uma thurman samuel l jackson bruce willis,"[668, 229, 669, 588, 15]","[668, 669, 15, 773, 801]"
7,Schindler's List,germanoccupied poland world war ii industrialist oskar schindler gradually becomes concerned jewish workforce witnessing persecution nazis germanoccupied poland world war ii industrialist oskar schindler gradually becomes concerned jewish workforce witnessing persecution nazis biography drama history steven spielberg liam neeson ralph fiennes ben kingsley caroline goodall,germanoccupi poland world war ii industrialist oskar schindler gradual becom concern jewish workforc wit persecut nazi germanoccupi poland world war ii industrialist oskar schindler gradual becom concern jewish workforc wit persecut nazi biographi drama histori steven spielberg liam neeson ralph fienn ben kingsley carolin goodal,germanoccupied poland world war ii industrialist oskar schindler gradually become concern jewish workforce witness persecution nazis germanoccupied poland world war ii industrialist oskar schindler gradually become concern jewish workforce witness persecution nazis biography drama history steven spielberg liam neeson ralph fiennes ben kingsley caroline goodall,"[38, 93, 772, 832, 179]","[38, 772, 832, 179, 542]"
8,Inception,thief steals corporate secrets use dreamsharing technology given inverse task planting idea mind ceo thief steals corporate secrets use dreamsharing technology given inverse task planting idea mind ceo action adventure scifi christopher nolan leonardo dicaprio joseph gordonlevitt elliot page ken watanabe,thief steal corpor secret use dreamshar technolog given invers task plant idea mind ceo thief steal corpor secret use dreamshar technolog given invers task plant idea mind ceo action adventur scifi christoph nolan leonardo dicaprio joseph gordonlevitt elliot page ken watanab,thief steal corporate secrets use dreamsharing technology give inverse task plant idea mind ceo thief steal corporate secrets use dreamsharing technology give inverse task plant idea mind ceo action adventure scifi christopher nolan leonardo dicaprio joseph gordonlevitt elliot page ken watanabe,"[843, 645, 582, 642, 708]","[645, 582, 642, 708, 155]"
9,Fight Club,insomniac office worker devilmaycare soapmaker form underground fight club evolves something much much insomniac office worker devilmaycare soapmaker form underground fight club evolves something much much drama david fincher brad pitt edward norton meat loaf zach grenier,insomniac offic worker devilmaycar soapmak form underground fight club evolv someth much much insomniac offic worker devilmaycar soapmak form underground fight club evolv someth much much drama david fincher brad pitt edward norton meat loaf zach grenier,insomniac office worker devilmaycare soapmaker form underground fight club evolve something much much insomniac office worker devilmaycare soapmaker form underground fight club evolve something much much drama david fincher brad pitt edward norton meat loaf zach grenier,"[971, 116, 778, 636, 928]","[971, 778, 636, 928, 761]"
10,The Lord of the Rings: The Fellowship of the Ring,meek hobbit shire eight companions set journey destroy powerful one ring save middleearth dark lord sauron meek hobbit shire eight companions set journey destroy powerful one ring save middleearth dark lord sauron action adventure drama peter jackson elijah wood ian mckellen orlando bloom sean bean,meek hobbit shire eight companion set journey destroy power one ring save middleearth dark lord sauron meek hobbit shire eight companion set journey destroy power one ring save middleearth dark lord sauron action adventur drama peter jackson elijah wood ian mckellen orlando bloom sean bean,meek hobbit shire eight companion set journey destroy powerful one ring save middleearth dark lord sauron meek hobbit shire eight companion set journey destroy powerful one ring save middleearth dark lord sauron action adventure drama peter jackson elijah wood ian mckellen orlando bloom sean bean,"[5, 226, 13, 618, 169]","[5, 226, 618, 162, 267]"
11,Forrest Gump,presidencies kennedy johnson events vietnam watergate historical events unfold perspective alabama man iq whose desire reunited childhood sweetheart presidencies kennedy johnson events vietnam watergate historical events unfold perspective alabama man iq whose desire reunited childhood sweetheart drama romance robert zemeckis tom hanks robin wright gary sinise sally field,presid kennedi johnson event vietnam waterg histor event unfold perspect alabama man iq whose desir reunit childhood sweetheart presid kennedi johnson event vietnam waterg histor event unfold perspect alabama man iq whose desir reunit childhood sweetheart drama romanc robert zemecki tom hank robin wright gari sinis salli field,presidencies kennedy johnson events vietnam watergate historical events unfold perspective alabama man iq whose desire reunite childhood sweetheart presidencies kennedy johnson events vietnam watergate historical events unfold perspective alabama man iq whose desire reunite childhood sweetheart drama romance robert zemeckis tom hanks robin wright gary sinise sally field,"[134, 350, 127, 705, 667]","[134, 350, 705, 127, 766]"
12,"Il buono, il brutto, il cattivo",bounty hunting scam joins two men uneasy alliance third race find fortune gold buried remote cemetery bounty hunting scam joins two men uneasy alliance third race find fortune gold buried remote cemetery western sergio leone clint eastwood eli wallach lee van cleef aldo giuffrè,bounti hunt scam join two men uneasi allianc third race find fortun gold buri remot cemeteri bounti hunt scam join two men uneasi allianc third race find fortun gold buri remot cemeteri western sergio leon clint eastwood eli wallach lee van cleef aldo giuffrè,bounty hunt scam join two men uneasy alliance third race find fortune gold bury remote cemetery bounty hunt scam join two men uneasy alliance third race find fortune gold bury remote cemetery western sergio leone clint eastwood eli wallach lee van cleef aldo giuffrè,"[115, 174, 508, 0, 193]","[115, 174, 508, 0, 193]"
13,The Lord of the Rings: The Two Towers,frodo sam edge closer mordor help shifty gollum divided fellowship makes stand saurons new ally saruman hordes isengard frodo sam edge closer mordor help shifty gollum divided fellowship makes stand saurons new ally saruman hordes isengard action adventure drama peter jackson elijah wood ian mckellen viggo mortensen orlando bloom,frodo sam edg closer mordor help shifti gollum divid fellowship make stand sauron new alli saruman hord isengard frodo sam edg closer mordor help shifti gollum divid fellowship make stand sauron new alli saruman hord isengard action adventur drama peter jackson elijah wood ian mckellen viggo mortensen orlando bloom,frodo sam edge closer mordor help shifty gollum divide fellowship make stand saurons new ally saruman hordes isengard frodo sam edge closer mordor help shifty gollum divide fellowship make stand saurons new ally saruman hordes isengard action adventure drama peter jackson elijah wood ian mckellen viggo mortensen orlando bloom,"[5, 10, 982, 59, 704]","[5, 10, 59, 704, 458]"
14,The Matrix,beautiful stranger leads computer hacker neo forbidding underworld discovers shocking truththe life knows elaborate deception evil cyberintelligence beautiful stranger leads computer hacker neo forbidding underworld discovers shocking truththe life knows elaborate deception evil cyberintelligence action scifi lana wachowski lilly wachowski keanu reeves laurence fishburne carrieanne moss,beauti stranger lead comput hacker neo forbid underworld discov shock truthth life know elabor decept evil cyberintellig beauti stranger lead comput hacker neo forbid underworld discov shock truthth life know elabor decept evil cyberintellig action scifi lana wachowski lilli wachowski keanu reev laurenc fishburn carrieann moss,beautiful stranger lead computer hacker neo forbid underworld discover shock truththe life know elaborate deception evil cyberintelligence beautiful stranger lead computer hacker neo forbid underworld discover shock truththe life know elaborate deception evil cyberintelligence action scifi lana wachowski lilly wachowski keanu reeve laurence fishburne carrieanne moss,"[121, 250, 202, 805, 48]","[173, 121, 174, 250, 202]"
15,Goodfellas,story henry hill life mob covering relationship wife karen hill mob partners jimmy conway tommy devito italianamerican crime syndicate story henry hill life mob covering relationship wife karen hill mob partners jimmy conway tommy devito italianamerican crime syndicate biography crime drama martin scorsese robert de niro ray liotta joe pesci lorraine bracco,stori henri hill life mob cover relationship wife karen hill mob partner jimmi conway tommi devito italianamerican crime syndic stori henri hill life mob cover relationship wife karen hill mob partner jimmi conway tommi devito italianamerican crime syndic biographi crime drama martin scorses robert de niro ray liotta joe pesci lorrain bracco,story henry hill life mob cover relationship wife karen hill mob partner jimmy conway tommy devito italianamerican crime syndicate story henry hill life mob cover relationship wife karen hill mob partner jimmy conway tommy devito italianamerican crime syndicate biography crime drama martin scorsese robert de niro ray liotta joe pesci lorraine bracco,"[147, 3, 484, 809, 827]","[147, 3, 484, 809, 827]"
16,Star Wars: Episode V - The Empire Strikes Back,rebels brutally overpowered empire ice planet hoth luke skywalker begins jedi training yoda friends pursued darth vader bounty hunter named boba fett galaxy rebels brutally overpowered empire ice planet hoth luke skywalker begins jedi training yoda friends pursued darth vader bounty hunter named boba fett galaxy action adventure fantasy irvin kershner mark hamill harrison ford carrie fisher billy dee williams,rebel brutal overpow empir ice planet hoth luke skywalk begin jedi train yoda friend pursu darth vader bounti hunter name boba fett galaxi rebel brutal overpow empir ice planet hoth luke skywalk begin jedi train yoda friend pursu darth vader bounti hunter name boba fett galaxi action adventur fantasi irvin kershner mark hamil harrison ford carri fisher billi dee william,rebel brutally overpower empire ice planet hoth luke skywalker begin jedi train yoda friends pursue darth vader bounty hunter name boba fett galaxy rebel brutally overpower empire ice planet hoth luke skywalker begin jedi train yoda friends pursue darth vader bounty hunter name boba fett galaxy action adventure fantasy irvin kershner mark hamill harrison ford carrie fisher billy dee williams,"[29, 109, 62, 155, 796]","[29, 109, 796, 155, 221]"
17,One Flew Over the Cuckoo's Nest,criminal pleads insanity admitted mental institution rebels oppressive nurse rallies scared patients criminal pleads insanity admitted mental institution rebels oppressive nurse rallies scared patients drama milos forman jack nicholson louise fletcher michael berryman peter brocco,crimin plead insan admit mental institut rebel oppress nurs ralli scare patient crimin plead insan admit mental institut rebel oppress nurs ralli scare patient drama milo forman jack nicholson louis fletcher michael berryman peter brocco,criminal plead insanity admit mental institution rebel oppressive nurse rally scar patients criminal plead insanity admit mental institution rebel oppressive nurse rally scar patients drama milos forman jack nicholson louise fletcher michael berryman peter brocco,"[130, 145, 694, 752, 564]","[752, 139, 289, 141, 130]"
18,Hamilton,real life one americas foremost founding fathers first secretary treasury alexander hamilton captured live broadway richard rodgers theater original broadway cast real life one americas foremost founding fathers first secretary treasury alexander hamilton captured live broadway richard rodgers theater original broadway cast biography drama history thomas kail linmanuel miranda phillipa soo leslie odom jr renée elise goldsberry,real life one america foremost found father first secretari treasuri alexand hamilton captur live broadway richard rodger theater origin broadway cast real life one america foremost found father first secretari treasuri alexand hamilton captur live broadway richard rodger theater origin broadway cast biographi drama histori thoma kail linmanuel miranda phillipa soo lesli odom jr rené elis goldsberri,real life one americas foremost found father first secretary treasury alexander hamilton capture live broadway richard rodgers theater original broadway cast real life one americas foremost found father first secretary treasury alexander hamilton capture live broadway richard rodgers theater original broadway cast biography drama history thomas kail linmanuel miranda phillipa soo leslie odom jr renée elise goldsberry,"[190, 639, 668, 88, 585]","[190, 639, 88, 668, 585]"
19,Gisaengchung,greed class discrimination threaten newly formed symbiotic relationship wealthy park family destitute kim clan greed class discrimination threaten newly formed symbiotic relationship wealthy park family destitute kim clan comedy drama thriller bong joon ho kangho song lee sunkyun cho yeojeong choi woosik,greed class discrimin threaten newli form symbiot relationship wealthi park famili destitut kim clan greed class discrimin threaten newli form symbiot relationship wealthi park famili destitut kim clan comedi drama thriller bong joon ho kangho song lee sunkyun cho yeojeong choi woosik,greed class discrimination threaten newly form symbiotic relationship wealthy park family destitute kim clan greed class discrimination threaten newly form symbiotic relationship wealthy park family destitute kim clan comedy drama thriller bong joon ho kangho song lee sunkyun cho yeojeong choi woosik,"[42, 239, 87, 431, 127]","[42, 239, 87, 127, 863]"
20,Soorarai Pottru,nedumaaran rajangam maara sets make common man fly process takes worlds capital intensive industry several enemies stand way nedumaaran rajangam maara sets make common man fly process takes worlds capital intensive industry several enemies stand way drama sudha kongara suriya madhavan paresh rawal aparna balamurali,nedumaaran rajangam maara set make common man fli process take world capit intens industri sever enemi stand way nedumaaran rajangam maara set make common man fli process take world capit intens industri sever enemi stand way drama sudha kongara suriya madhavan paresh rawal aparna balamurali,nedumaaran rajangam maara set make common man fly process take worlds capital intensive industry several enemies stand way nedumaaran rajangam maara set make common man fly process take worlds capital intensive industry several enemies stand way drama sudha kongara suriya madhavan paresh rawal aparna balamurali,"[964, 692, 122, 385, 868]","[692, 122, 385, 868, 138]"
21,Interstellar,team explorers travel wormhole space attempt ensure humanitys survival team explorers travel wormhole space attempt ensure humanitys survival adventure drama scifi christopher nolan matthew mcconaughey anne hathaway jessica chastain mackenzie foy,team explor travel wormhol space attempt ensur human surviv team explor travel wormhol space attempt ensur human surviv adventur drama scifi christoph nolan matthew mcconaughey ann hathaway jessica chastain mackenzi foy,team explorers travel wormhole space attempt ensure humanitys survival team explorers travel wormhole space attempt ensure humanitys survival adventure drama scifi christopher nolan matthew mcconaughey anne hathaway jessica chastain mackenzie foy,"[745, 106, 343, 654, 204]","[343, 654, 575, 329, 106]"
22,Cidade de Deus,slums rio two kids paths diverge one struggles become photographer kingpin slums rio two kids paths diverge one struggles become photographer kingpin crime drama fernando meirelles kátia lund alexandre rodrigues leandro firmino matheus nachtergaele,slum rio two kid path diverg one struggl becom photograph kingpin slum rio two kid path diverg one struggl becom photograph kingpin crime drama fernando meirel kátia lund alexandr rodrigu leandro firmino matheu nachtergael,slum rio two kid paths diverge one struggle become photographer kingpin slum rio two kid paths diverge one struggle become photographer kingpin crime drama fernando meirelles kátia lund alexandre rodrigues leandro firmino matheus nachtergaele,"[81, 554, 162, 668, 509]","[81, 554, 162, 668, 509]"
23,Sen to Chihiro no kamikakushi,familys move suburbs sullen yearold girl wanders world ruled gods witches spirits humans changed beasts familys move suburbs sullen yearold girl wanders world ruled gods witches spirits humans changed beasts animation adventure family hayao miyazaki daveigh chase suzanne pleshette miyu irino rumi hiiragi,famili move suburb sullen yearold girl wander world rule god witch spirit human chang beast famili move suburb sullen yearold girl wander world rule god witch spirit human chang beast anim adventur famili hayao miyazaki daveigh chase suzann pleshett miyu irino rumi hiiragi,familys move suburbs sullen yearold girl wander world rule gods witch spirit humans change beasts familys move suburbs sullen yearold girl wander world rule gods witch spirit humans change beasts animation adventure family hayao miyazaki daveigh chase suzanne pleshette miyu irino rumi hiiragi,"[170, 783, 891, 741, 902]","[741, 170, 783, 219, 197]"
24,Saving Private Ryan,following normandy landings group us soldiers go behind enemy lines retrieve paratrooper whose brothers killed action following normandy landings group us soldiers go behind enemy lines retrieve paratrooper whose brothers killed action drama war steven spielberg tom hanks matt damon tom sizemore edward burns,follow normandi land group us soldier go behind enemi line retriev paratroop whose brother kill action follow normandi land group us soldier go behind enemi line retriev paratroop whose brother kill action drama war steven spielberg tom hank matt damon tom sizemor edward burn,follow normandy land group us soldier go behind enemy line retrieve paratrooper whose brothers kill action follow normandy land group us soldier go behind enemy line retrieve paratrooper whose brothers kill action drama war steven spielberg tom hanks matt damon tom sizemore edward burn,"[991, 93, 40, 790, 129]","[991, 93, 790, 410, 129]"
25,The Green Mile,lives guards death row affected one charges black man accused child murder rape yet mysterious gift lives guards death row affected one charges black man accused child murder rape yet mysterious gift crime drama fantasy frank darabont tom hanks michael clarke duncan david morse bonnie hunt,live guard death row affect one charg black man accus child murder rape yet mysteri gift live guard death row affect one charg black man accus child murder rape yet mysteri gift crime drama fantasi frank darabont tom hank michael clark duncan david mors bonni hunt,live guard death row affect one charge black man accuse child murder rape yet mysterious gift live guard death row affect one charge black man accuse child murder rape yet mysterious gift crime drama fantasy frank darabont tom hanks michael clarke duncan david morse bonnie hunt,"[180, 521, 162, 951, 185]","[180, 521, 162, 185, 883]"
26,La vita è bella,openminded jewish librarian son become victims holocaust uses perfect mixture humor imagination protect son dangers around camp openminded jewish librarian son become victims holocaust uses perfect mixture humor imagination protect son dangers around camp comedy drama romance roberto benigni roberto benigni nicoletta braschi giorgio cantarini giustino durano,openmind jewish librarian son becom victim holocaust use perfect mixtur humor imagin protect son danger around camp openmind jewish librarian son becom victim holocaust use perfect mixtur humor imagin protect son danger around camp comedi drama romanc roberto benigni roberto benigni nicoletta braschi giorgio cantarini giustino durano,openminded jewish librarian son become victims holocaust use perfect mixture humor imagination protect son dangers around camp openminded jewish librarian son become victims holocaust use perfect mixture humor imagination protect son dangers around camp comedy drama romance roberto benigni roberto benigni nicoletta braschi giorgio cantarini giustino durano,"[77, 616, 664, 841, 689]","[616, 664, 841, 77, 897]"
27,Se7en,two detectives rookie veteran hunt serial killer uses seven deadly sins motives two detectives rookie veteran hunt serial killer uses seven deadly sins motives crime drama mystery david fincher morgan freeman brad pitt kevin spacey andrew kevin walker,two detect rooki veteran hunt serial killer use seven deadli sin motiv two detect rooki veteran hunt serial killer use seven deadli sin motiv crime drama mysteri david fincher morgan freeman brad pitt kevin spacey andrew kevin walker,two detectives rookie veteran hunt serial killer use seven deadly sin motives two detectives rookie veteran hunt serial killer use seven deadly sin motives crime drama mystery david fincher morgan freeman brad pitt kevin spacey andrew kevin walker,"[932, 922, 602, 28, 767]","[932, 922, 602, 28, 508]"
28,The Silence of the Lambs,young fbi cadet must receive help incarcerated manipulative cannibal killer help catch another serial killer madman skins victims young fbi cadet must receive help incarcerated manipulative cannibal killer help catch another serial killer madman skins victims crime drama thriller jonathan demme jodie foster anthony hopkins lawrence bonney kasi lemmons,young fbi cadet must receiv help incarcer manipul cannib killer help catch anoth serial killer madman skin victim young fbi cadet must receiv help incarcer manipul cannib killer help catch anoth serial killer madman skin victim crime drama thriller jonathan demm jodi foster anthoni hopkin lawrenc bonney kasi lemmon,young fbi cadet must receive help incarcerate manipulative cannibal killer help catch another serial killer madman skin victims young fbi cadet must receive help incarcerate manipulative cannibal killer help catch another serial killer madman skin victims crime drama thriller jonathan demme jodie foster anthony hopkins lawrence bonney kasi lemmons,"[723, 196, 602, 611, 27]","[723, 196, 602, 611, 27]"
29,Star Wars,luke skywalker joins forces jedi knight cocky pilot wookiee two droids save galaxy empires worlddestroying battle station also attempting rescue princess leia mysterious darth vader luke skywalker joins forces jedi knight cocky pilot wookiee two droids save galaxy empires worlddestroying battle station also attempting rescue princess leia mysterious darth vader action adventure fantasy george lucas mark hamill harrison ford carrie fisher alec guinness,luke skywalk join forc jedi knight cocki pilot wookie two droid save galaxi empir worlddestroy battl station also attempt rescu princess leia mysteri darth vader luke skywalk join forc jedi knight cocki pilot wookie two droid save galaxi empir worlddestroy battl station also attempt rescu princess leia mysteri darth vader action adventur fantasi georg luca mark hamil harrison ford carri fisher alec guin,luke skywalker join force jedi knight cocky pilot wookiee two droids save galaxy empires worlddestroying battle station also attempt rescue princess leia mysterious darth vader luke skywalker join force jedi knight cocky pilot wookiee two droids save galaxy empires worlddestroying battle station also attempt rescue princess leia mysterious darth vader action adventure fantasy george lucas mark hamill harrison ford carrie fisher alec guinness,"[16, 109, 419, 236, 378]","[16, 109, 419, 236, 378]"
30,Seppuku,ronin requesting seppuku feudal lords palace told brutal suicide another ronin previously visited reveals pasts intertwined challenges clans integrity ronin requesting seppuku feudal lords palace told brutal suicide another ronin previously visited reveals pasts intertwined challenges clans integrity action drama mystery masaki kobayashi tatsuya nakadai akira ishihama shima iwashita tetsurô tanba,ronin request seppuku feudal lord palac told brutal suicid anoth ronin previous visit reveal past intertwin challeng clan integr ronin request seppuku feudal lord palac told brutal suicid anoth ronin previous visit reveal past intertwin challeng clan integr action drama mysteri masaki kobayashi tatsuya nakadai akira ishihama shima iwashita tetsurô tanba,ronin request seppuku feudal lord palace tell brutal suicide another ronin previously visit reveal pasts intertwine challenge clans integrity ronin request seppuku feudal lord palace tell brutal suicide another ronin previously visit reveal pasts intertwine challenge clans integrity action drama mystery masaki kobayashi tatsuya nakadai akira ishihama shima iwashita tetsurô tanba,"[181, 495, 526, 522, 675]","[181, 526, 675, 564, 705]"
31,Shichinin no samurai,poor village attack bandits recruits seven unemployed samurai help defend poor village attack bandits recruits seven unemployed samurai help defend action adventure drama akira kurosawa toshirô mifune takashi shimura keiko tsushima yukiko shimazaki,poor villag attack bandit recruit seven unemploy samurai help defend poor villag attack bandit recruit seven unemploy samurai help defend action adventur drama akira kurosawa toshirô mifun takashi shimura keiko tsushima yukiko shimazaki,poor village attack bandits recruit seven unemployed samurai help defend poor village attack bandits recruit seven unemployed samurai help defend action adventure drama akira kurosawa toshirô mifune takashi shimura keiko tsushima yukiko shimazaki,"[189, 865, 294, 982, 80]","[865, 294, 189, 982, 80]"
32,It's a Wonderful Life,angel sent heaven help desperately frustrated businessman showing life would like never existed angel sent heaven help desperately frustrated businessman showing life would like never existed drama family fantasy frank capra james stewart donna reed lionel barrymore thomas mitchell,angel sent heaven help desper frustrat businessman show life would like never exist angel sent heaven help desper frustrat businessman show life would like never exist drama famili fantasi frank capra jame stewart donna reed lionel barrymor thoma mitchel,angel send heaven help desperately frustrate businessman show life would like never exist angel send heaven help desperately frustrate businessman show life would like never exist drama family fantasy frank capra jam stewart donna reed lionel barrymore thomas mitchell,"[377, 913, 472, 561, 250]","[377, 913, 472, 250, 99]"
33,Joker,gotham city mentally troubled comedian arthur fleck disregarded mistreated society embarks downward spiral revolution bloody crime path brings facetoface alterego joker gotham city mentally troubled comedian arthur fleck disregarded mistreated society embarks downward spiral revolution bloody crime path brings facetoface alterego joker crime drama thriller todd phillips joaquin phoenix robert de niro zazie beetz frances conroy,gotham citi mental troubl comedian arthur fleck disregard mistreat societi embark downward spiral revolut bloodi crime path bring facetofac alterego joker gotham citi mental troubl comedian arthur fleck disregard mistreat societi embark downward spiral revolut bloodi crime path bring facetofac alterego joker crime drama thriller todd phillip joaquin phoenix robert de niro zazi beetz franc conroy,gotham city mentally trouble comedian arthur fleck disregard mistreat society embark downward spiral revolution bloody crime path bring facetoface alterego joker gotham city mentally trouble comedian arthur fleck disregard mistreat society embark downward spiral revolution bloody crime path bring facetoface alterego joker crime drama thriller todd phillips joaquin phoenix robert de niro zazie beetz frances conroy,"[3, 186, 111, 814, 299]","[3, 186, 111, 814, 299]"
34,Whiplash,promising young drummer enrolls cutthroat music conservatory dreams greatness mentored instructor stop nothing realize students potential promising young drummer enrolls cutthroat music conservatory dreams greatness mentored instructor stop nothing realize students potential drama music damien chazelle miles teller jk simmons melissa benoist paul reiser,promis young drummer enrol cutthroat music conservatori dream great mentor instructor stop noth realiz student potenti promis young drummer enrol cutthroat music conservatori dream great mentor instructor stop noth realiz student potenti drama music damien chazel mile teller jk simmon melissa benoist paul reiser,promise young drummer enroll cutthroat music conservatory dream greatness mentor instructor stop nothing realize students potential promise young drummer enroll cutthroat music conservatory dream greatness mentor instructor stop nothing realize students potential drama music damien chazelle miles teller jk simmons melissa benoist paul reiser,"[501, 758, 875, 738, 571]","[501, 758, 714, 310, 793]"
35,The Intouchables,becomes quadriplegic paragliding accident aristocrat hires young man projects caregiver becomes quadriplegic paragliding accident aristocrat hires young man projects caregiver biography comedy drama olivier nakache éric toledano françois cluzet omar sy anne le ny,becom quadripleg paraglid accid aristocrat hire young man project caregiv becom quadripleg paraglid accid aristocrat hire young man project caregiv biographi comedi drama olivi nakach éric toledano françoi cluzet omar sy ann le ny,become quadriplegic paragliding accident aristocrat hire young man project caregiver become quadriplegic paragliding accident aristocrat hire young man project caregiver biography comedy drama olivier nakache éric toledano françois cluzet omar sy anne le ny,"[995, 310, 485, 754, 763]","[995, 310, 485, 754, 763]"
36,The Prestige,tragic accident two stage magicians engage battle create ultimate illusion sacrificing everything outwit tragic accident two stage magicians engage battle create ultimate illusion sacrificing everything outwit drama mystery scifi christopher nolan christian bale hugh jackman scarlett johansson michael caine,tragic accid two stage magician engag battl creat ultim illus sacrif everyth outwit tragic accid two stage magician engag battl creat ultim illus sacrif everyth outwit drama mysteri scifi christoph nolan christian bale hugh jackman scarlett johansson michael cain,tragic accident two stage magicians engage battle create ultimate illusion sacrifice everything outwit tragic accident two stage magicians engage battle create ultimate illusion sacrifice everything outwit drama mystery scifi christopher nolan christian bale hugh jackman scarlett johansson michael caine,"[745, 112, 508, 922, 528]","[745, 112, 508, 528, 914]"
