,Series_Title,Bag_of_Word,Bag_of_Word_stem,Bag_of_Word_lema,Top 5 stem,Top 5 lema
484,The Irishman,old man recalls time painting houses friend jimmy hoffa old man recalls time painting houses friend jimmy hoffa biography crime drama martin scorsese robert de niro al pacino joe pesci harvey keitel,old man recal time paint hous friend jimmi hoffa old man recal time paint hous friend jimmi hoffa biographi crime drama martin scorses robert de niro al pacino joe pesci harvey keitel,old man recall time paint house friend jimmy hoffa old man recall time paint house friend jimmy hoffa biography crime drama martin scorsese robert de niro al pacino joe pesci harvey keitel,"[15, 385, 895, 165, 64]","[15, 385, 895, 167, 418]"
485,Un prophète,young arab man sent french prison young arab man sent french prison crime drama jacques audiard tahar rahim niels arestrup adel bencherif reda kateb,young arab man sent french prison young arab man sent french prison crime drama jacqu audiard tahar rahim niel arestrup adel bencherif reda kateb,young arab man send french prison young arab man send french prison crime drama jacques audiard tahar rahim niels arestrup adel bencherif reda kateb,"[418, 995, 637, 257, 288]","[418, 995, 637, 257, 288]"
486,Moon,astronaut sam bell quintessentially personal encounter toward end threeyear stint moon working alongside computer gerty sends back earth parcels resource helped diminish planets power problems astronaut sam bell quintessentially personal encounter toward end threeyear stint moon working alongside computer gerty sends back earth parcels resource helped diminish planets power problems drama mystery scifi duncan jones sam rockwell kevin spacey dominique mcelligott rosie shaw,astronaut sam bell quintessenti person encount toward end threeyear stint moon work alongsid comput gerti send back earth parcel resourc help diminish planet power problem astronaut sam bell quintessenti person encount toward end threeyear stint moon work alongsid comput gerti send back earth parcel resourc help diminish planet power problem drama mysteri scifi duncan jone sam rockwel kevin spacey dominiqu mcelligott rosi shaw,astronaut sam bell quintessentially personal encounter toward end threeyear stint moon work alongside computer gerty send back earth parcel resource help diminish planets power problems astronaut sam bell quintessentially personal encounter toward end threeyear stint moon work alongside computer gerty send back earth parcel resource help diminish planets power problems drama mystery scifi duncan jones sam rockwell kevin spacey dominique mcelligott rosie shaw,"[872, 903, 752, 745, 132]","[872, 903, 761, 752, 13]"
487,Låt den rätte komma in,oskar overlooked bullied boy finds love revenge eli beautiful peculiar girl oskar overlooked bullied boy finds love revenge eli beautiful peculiar girl crime drama fantasy tomas alfredson kåre hedebrant lina leandersson per ragnar henrik dahl,oskar overlook bulli boy find love reveng eli beauti peculiar girl oskar overlook bulli boy find love reveng eli beauti peculiar girl crime drama fantasi toma alfredson kåre hedebr lina leandersson per ragnar henrik dahl,oskar overlook bully boy find love revenge eli beautiful peculiar girl oskar overlook bully boy find love revenge eli beautiful peculiar girl crime drama fantasy tomas alfredson kåre hedebrant lina leandersson per ragnar henrik dahl,"[518, 475, 906, 464, 350]","[518, 475, 464, 350, 302]"
488,District 9,violence ensues extraterrestrial race forced live slumlike conditions earth finds kindred spirit government agent exposed biotechnology violence ensues extraterrestrial race forced live slumlike conditions earth finds kindred spirit government agent exposed biotechnology action scifi thriller neill blomkamp sharlto copley david james jason cope nathalie boltt,violenc ensu extraterrestri race forc live slumlik condit earth find kindr spirit govern agent expos biotechnolog violenc ensu extraterrestri race forc live slumlik condit earth find kindr spirit govern agent expos biotechnolog action scifi thriller neill blomkamp sharlto copley david jame jason cope nathali boltt,violence ensue extraterrestrial race force live slumlike condition earth find kindred spirit government agent expose biotechnology violence ensue extraterrestrial race force live slumlike condition earth find kindred spirit government agent expose biotechnology action scifi thriller neill blomkamp sharlto copley david jam jason cope nathalie boltt,"[669, 67, 893, 378, 275]","[669, 67, 893, 378, 275]"
489,The Wrestler,faded professional wrestler must retire finds quest new life outside ring dispiriting struggle faded professional wrestler must retire finds quest new life outside ring dispiriting struggle drama sport darren aronofsky mickey rourke marisa tomei evan rachel wood mark margolis,fade profession wrestler must retir find quest new life outsid ring dispirit struggl fade profession wrestler must retir find quest new life outsid ring dispirit struggl drama sport darren aronofski mickey rourk marisa tomei evan rachel wood mark margoli,fade professional wrestler must retire find quest new life outside ring dispirit struggle fade professional wrestler must retire find quest new life outside ring dispirit struggle drama sport darren aronofsky mickey rourke marisa tomei evan rachel wood mark margolis,"[173, 88, 521, 933, 978]","[173, 88, 521, 933, 978]"
490,Jab We Met,depressed wealthy businessman finds life changing meets spunky carefree young woman depressed wealthy businessman finds life changing meets spunky carefree young woman comedy drama romance imtiaz ali shahid kapoor kareena kapoor tarun arora dara singh,depress wealthi businessman find life chang meet spunki carefre young woman depress wealthi businessman find life chang meet spunki carefre young woman comedi drama romanc imtiaz ali shahid kapoor kareena kapoor tarun arora dara singh,depress wealthy businessman find life change meet spunky carefree young woman depress wealthy businessman find life change meet spunky carefree young woman comedy drama romance imtiaz ali shahid kapoor kareena kapoor tarun arora dara singh,"[734, 541, 374, 521, 265]","[734, 541, 374, 521, 265]"
491,Boyhood,life mason early childhood arrival college life mason early childhood arrival college drama richard linklater ellar coltrane patricia arquette ethan hawke elijah smith,life mason earli childhood arriv colleg life mason earli childhood arriv colleg drama richard linklat ellar coltran patricia arquett ethan hawk elijah smith,life mason early childhood arrival college life mason early childhood arrival college drama richard linklater ellar coltrane patricia arquette ethan hawke elijah smith,"[720, 176, 173, 240, 820]","[720, 176, 173, 240, 820]"
492,"4 luni, 3 saptamâni si 2 zile",woman assists friend arranging illegal abortion romania woman assists friend arranging illegal abortion romania drama cristian mungiu anamaria marinca laura vasiliu vlad ivanov alexandru potocean,woman assist friend arrang illeg abort romania woman assist friend arrang illeg abort romania drama cristian mungiu anamaria marinca laura vasiliu vlad ivanov alexandru potocean,woman assist friend arrange illegal abortion romania woman assist friend arrange illegal abortion romania drama cristian mungiu anamaria marinca laura vasiliu vlad ivanov alexandru potocean,"[706, 550, 559, 221, 267]","[550, 153, 937, 734, 452]"
493,Star Trek,brash james kirk tries live fathers legacy mr spock keeping check vengeful romulan future creates black holes destroy federation one planet time brash james kirk tries live fathers legacy mr spock keeping check vengeful romulan future creates black holes destroy federation one planet time action adventure scifi jj abrams chris pine zachary quinto simon pegg leonard nimoy,brash jame kirk tri live father legaci mr spock keep check veng romulan futur creat black hole destroy feder one planet time brash jame kirk tri live father legaci mr spock keep check veng romulan futur creat black hole destroy feder one planet time action adventur scifi jj abram chri pine zachari quinto simon pegg leonard nimoy,brash jam kirk try live father legacy mr spock keep check vengeful romulan future create black hole destroy federation one planet time brash jam kirk try live father legacy mr spock keep check vengeful romulan future create black hole destroy federation one planet time action adventure scifi jj abrams chris pine zachary quinto simon pegg leonard nimoy,"[872, 807, 378, 887, 393]","[807, 378, 887, 393, 634]"
494,In Bruges,guiltstricken job gone wrong hitman ray partner await orders ruthless boss bruges belgium last place world ray wants guiltstricken job gone wrong hitman ray partner await orders ruthless boss bruges belgium last place world ray wants comedy crime drama martin mcdonagh colin farrell brendan gleeson ciarán hinds elizabeth berrington,guiltstricken job gone wrong hitman ray partner await order ruthless boss bruge belgium last place world ray want guiltstricken job gone wrong hitman ray partner await order ruthless boss bruge belgium last place world ray want comedi crime drama martin mcdonagh colin farrel brendan gleeson ciarán hind elizabeth berrington,guiltstricken job go wrong hitman ray partner await order ruthless boss bruges belgium last place world ray want guiltstricken job go wrong hitman ray partner await order ruthless boss bruges belgium last place world ray want comedy crime drama martin mcdonagh colin farrell brendan gleeson ciarán hinds elizabeth berrington,"[814, 154, 800, 167, 15]","[814, 154, 779, 800, 167]"
495,The Man from Earth,impromptu goodbye party professor john oldman becomes mysterious interrogation retiring scholar reveals colleagues longer stranger past imagine impromptu goodbye party professor john oldman becomes mysterious interrogation retiring scholar reveals colleagues longer stranger past imagine drama fantasy mystery richard schenkman david lee smith tony todd john billingsley ellen crawford,impromptu goodby parti professor john oldman becom mysteri interrog retir scholar reveal colleagu longer stranger past imagin impromptu goodby parti professor john oldman becom mysteri interrog retir scholar reveal colleagu longer stranger past imagin drama fantasi mysteri richard schenkman david lee smith toni todd john billingsley ellen crawford,impromptu goodbye party professor john oldman become mysterious interrogation retire scholar reveal colleagues longer stranger past imagine impromptu goodbye party professor john oldman become mysterious interrogation retire scholar reveal colleagues longer stranger past imagine drama fantasy mystery richard schenkman david lee smith tony todd john billingsley ellen crawford,"[805, 655, 833, 387, 871]","[805, 387, 871, 276, 4]"
